Titre;Chapitre;Section;Article;Décret;Contenu;Numéro Décret;Date decret;Annee decret
Titre Ier : Obligations du maître d'ouvrage pour la conception des lieux de travail  (Articles R4211-1 à R4217-2);Chapitre Ier : Principes généraux (Articles R4211-1 à R4211-5);Section 1 : Champ d'application et définitions (Articles R4211-1 à R4211-2);Article R4211-1;Création Décret n°2008-244 du 7 mars 2008 - art. (V);"Les dispositions du présent titre déterminent, en application de l'article
L. 4211-1
, les règles auxquelles se conforme le maître d'ouvrage entreprenant la construction ou l'aménagement de bâtiments destinés à recevoir des travailleurs, que ces opérations nécessitent ou non l'obtention d'un permis de construire.";2008-244;2008-03-07;2008
Titre Ier : Obligations du maître d'ouvrage pour la conception des lieux de travail  (Articles R4211-1 à R4217-2);Chapitre Ier : Principes généraux (Articles R4211-1 à R4211-5);Section 1 : Champ d'application et définitions (Articles R4211-1 à R4211-2);Article R4211-2;Création Décret n°2008-244 du 7 mars 2008 - art. (V);"Pour l'application du présent titre, on entend par lieux de travail les lieux destinés à recevoir des postes de travail, situés ou non dans les bâtiments de l'établissement, ainsi que tout autre endroit compris dans l'aire de l'établissement auquel le travailleur a accès dans le cadre de son travail.
Les champs, bois et autres terrains faisant partie d'un établissement agricole ou forestier mais situés en dehors de la zone bâtie d'un tel établissement ne sont pas considérés comme des lieux de travail.";2008-244;2008-03-07;2008
Titre Ier : Obligations du maître d'ouvrage pour la conception des lieux de travail  (Articles R4211-1 à R4217-2);Chapitre Ier : Principes généraux (Articles R4211-1 à R4211-5);Section 2 : Dossier de maintenance (Articles R4211-3 à R4211-5);Article R4211-3;"Modifié par Décret n°2011-1461
 du 7 novembre 2011 - art. 1";"Le maître d'ouvrage élabore et transmet aux utilisateurs, au moment de la prise de possession des locaux et au plus tard dans le mois qui suit, un dossier de maintenance des lieux de travail.
Ce dossier comporte notamment, outre les notices et dossiers techniques prévus aux articles
R. 4212-7
,
R. 4213-4
et
R. 4215-2
, les dispositions prises :
1° Pour le nettoyage des surfaces vitrées en élévation et en toiture en application de l'article
R. 4214-2
;
2° Pour l'accès en couverture, notamment :
a) Les moyens d'arrimage pour les interventions de courte durée ;
b) Les possibilités de mise en place rapide de garde-corps ou de filets de protection pour les interventions plus importantes ;
c) Les chemins de circulation permanents pour les interventions fréquentes ;
3° Pour faciliter l'entretien des façades, notamment les moyens d'arrimage et de stabilité d'échafaudage ou de nacelle ;
4° Pour faciliter les travaux d'entretien intérieur, notamment pour :
a) Le ravalement des halls de grande hauteur ;
b) Les accès aux machineries d'ascenseurs ;
c) Les accès aux canalisations en galerie technique, ou en vide sanitaire ;
5° Pour la localisation des espaces d'attente sécurisés au sens des articles
R. 4216-2-1
,
R. 4216-2-2
et
R. 4216-2-3
, il précise les caractéristiques de ces espaces.";2011-1461;2011-11-07;2011
Titre Ier : Obligations du maître d'ouvrage pour la conception des lieux de travail  (Articles R4211-1 à R4217-2);Chapitre Ier : Principes généraux (Articles R4211-1 à R4211-5);Section 2 : Dossier de maintenance (Articles R4211-3 à R4211-5);Article R4211-4;Création Décret n°2008-244 du 7 mars 2008 - art. (V);Le dossier de maintenance des lieux de travail indique, lorsqu'ils ont été aménagés à cet effet, les locaux techniques de nettoyage et les locaux sanitaires pouvant être mis à disposition des travailleurs chargés des travaux d'entretien.;2008-244;2008-03-07;2008
Titre Ier : Obligations du maître d'ouvrage pour la conception des lieux de travail  (Articles R4211-1 à R4217-2);Chapitre Ier : Principes généraux (Articles R4211-1 à R4211-5);Section 2 : Dossier de maintenance (Articles R4211-3 à R4211-5);Article R4211-5;Création Décret n°2008-244 du 7 mars 2008 - art. (V);Le dossier de maintenance des lieux de travail est tenu à la disposition de l'inspection du travail et des agents des services de prévention des organismes de sécurité sociale.;2008-244;2008-03-07;2008
Titre Ier : Obligations du maître d'ouvrage pour la conception des lieux de travail  (Articles R4211-1 à R4217-2);Chapitre III : Eclairage, insonorisation et ambiance thermique (Articles R4213-1 à R4213-9);Section 1 : Éclairage (Articles R4213-1 à R4213-4);Article R4213-1;Création Décret n°2008-244 du 7 mars 2008 - art. (V);"Le maître d'ouvrage conçoit et réalise les bâtiments et leurs aménagements de façon à ce qu'ils satisfassent aux règles d'éclairage prévues aux articles
R. 4223-2 à R. 4223-11
.";2008-244;2008-03-07;2008
Titre Ier : Obligations du maître d'ouvrage pour la conception des lieux de travail  (Articles R4211-1 à R4217-2);Chapitre III : Eclairage, insonorisation et ambiance thermique (Articles R4213-1 à R4213-9);Section 1 : Éclairage (Articles R4213-1 à R4213-4);Article R4213-2;Création Décret n°2008-244 du 7 mars 2008 - art. (V);Les bâtiments sont conçus et disposés de telle sorte que la lumière naturelle puisse être utilisée pour l'éclairage des locaux destinés à être affectés au travail, sauf dans les cas où la nature technique des activités s'y oppose.;2008-244;2008-03-07;2008
Titre Ier : Obligations du maître d'ouvrage pour la conception des lieux de travail  (Articles R4211-1 à R4217-2);Chapitre III : Eclairage, insonorisation et ambiance thermique (Articles R4213-1 à R4213-9);Section 1 : Éclairage (Articles R4213-1 à R4213-4);Article R4213-3;Création Décret n°2008-244 du 7 mars 2008 - art. (V);Les locaux destinés à être affectés au travail comportent à hauteur des yeux des baies transparentes donnant sur l'extérieur, sauf en cas d'incompatibilité avec la nature des activités envisagées.;2008-244;2008-03-07;2008
Titre Ier : Obligations du maître d'ouvrage pour la conception des lieux de travail  (Articles R4211-1 à R4217-2);Chapitre III : Eclairage, insonorisation et ambiance thermique (Articles R4213-1 à R4213-9);Section 1 : Éclairage (Articles R4213-1 à R4213-4);Article R4213-4;Création Décret n°2008-244 du 7 mars 2008 - art. (V);Le maître d'ouvrage consigne dans une notice d'instructions qu'il transmet à l'employeur les niveaux minimum d'éclairement, pendant les périodes de travail, des locaux, dégagements et emplacements, ainsi que les informations nécessaires à la détermination par l'employeur des règles d'entretien du matériel.;2008-244;2008-03-07;2008
Titre Ier : Obligations du maître d'ouvrage pour la conception des lieux de travail  (Articles R4211-1 à R4217-2);Chapitre III : Eclairage, insonorisation et ambiance thermique (Articles R4213-1 à R4213-9);Section 2 : Insonorisation (Articles R4213-5 à R4213-6);Article R4213-5;Création Décret n°2008-244 du 7 mars 2008 - art. (V);"Les locaux dans lesquels doivent être installés des équipements de travail susceptibles d'exposer les travailleurs à un niveau d'exposition sonore quotidienne supérieure à 85 dB(A) sont conçus, construits ou aménagés, compte tenu de l'état des techniques, de façon à :
1° Réduire la réverbération du bruit sur les parois de ces locaux lorsque cette réverbération occasionne une augmentation notable du niveau d'exposition des travailleurs ;
2° Limiter la propagation du bruit vers les autres locaux occupés par des travailleurs.";2008-244;2008-03-07;2008
